UserID,Unidade,Nivel,Modalidade
24fa33e2dc919c2b0cbb5b43102b5dfc,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
7e5c030bc577ca055397ed46d1dec014,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Educação a Distância
98db789e40ece1115d0b050d9562b5ba,Faculdade de Letras - FALE,Graduação (licenciatura),Educação a Distância
6cfed07a2ae24b7247e16d41cc63d925,Faculdade de Letras - FALE,Graduação (licenciatura),Educação a Distância
72b533e68ea92aa3ab97047d3105e045,Faculdade de Letras - FALE,Graduação (licenciatura),Educação a Distância
834a88820f9dc4d0af4ec2be6023585a,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
8baa9fda116775f6bc23f2451a956521,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
9a96fead611c8038c77c97f35cd85006,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
43c082b05f5f36283d711e8739bd4217,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
e76f2c0fd31c3ebc41ec1008fd64491e,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
226b8bcca2e819a696d9445b8cdb6e6d,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
16edb4f6d435437a1e9cbde0ae062845,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
706bef4386f76d16889c73efae5afd12,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
a63c3c6d2f57738dec2e396437261d66,Faculdade de Letras - FALE,Graduação (licenciatura),Educação a Distância
c8cd01de53c228c55b814987affda529,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
f546f177b68907f233cfa2dd5fd5fefd,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
7aa7aa69e10b88dcf49717d367fc7a9a,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
a77f2b56982f0fb01f953b2836485ffd,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
96d3c438ec428ce3f49c3a2169eeec0c,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Educação a Distância
c3af7ce65100d878ce36332d053ea93e,Centro de Educação - CEDU,Graduação (bacharelado),Educação a Distância
ed343c599e8b7cb9872333015fdd4fa6,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
e85e98b98b5e7b128c9c2f8b10ec8f12,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
f5d7b7b74120c99e3cb238503a110ac7,Faculdade de Letras - FALE,Graduação (licenciatura),Educação a Distância
b4f0b2650bc2dcec0708855ee483a130,Campus CECA,Graduação (bacharelado),Presencial
f978f817f65120f0aeaa8a52ace6869f,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
3108ad10cdf16ae55ff5685aaaead8e8,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
0e6e08f5203760a69efd8a28ca89ffb1,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
b276235ab38eebb1dc40decae7c8b3d5,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
dc614e618dd334ce8da8f030f9fae8e5,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
8372473dc11970f9e5064d763afe4efe,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
68689bf20bc6baed8418e1a0b2bd7abd,Campus CECA,Graduação (bacharelado),Presencial
